Date,Value,Value_Classification,BTC_Closing,BTC_Volume
5/7/2020,49,Neutral,9951.518555,61112700562
5/8/2020,55,Greed,9842.666016,51780748042
5/9/2020,56,Greed,9593.896484,46566121841
5/10/2020,48,Neutral,8756.430664,63325279337
5/11/2020,40,Fear,8601.795898,57119858802
5/12/2020,39,Fear,8804.477539,42142717533
5/13/2020,41,Fear,9269.987305,45558144023
5/14/2020,40,Fear,9733.72168,56426907637
5/15/2020,44,Fear,9328.197266,48158802327
5/16/2020,41,Fear,9377.013672,36164766408
5/17/2020,40,Fear,9670.739258,40084250663
5/18/2020,50,Neutral,9726.575195,41827139896
5/19/2020,50,Neutral,9729.038086,39254288955
5/20/2020,52,Neutral,9522.981445,36546239703
5/21/2020,49,Neutral,9081.761719,39326160532
5/22/2020,42,Fear,9182.577148,29810773699
5/23/2020,40,Fear,9209.287109,27727866812
5/24/2020,43,Fear,8790.368164,32518803300
5/25/2020,41,Fear,8906.93457,31288157264
5/26/2020,39,Fear,8835.052734,29584186947
5/27/2020,39,Fear,9181.017578,32740536902
5/28/2020,41,Fear,9525.750977,34367073114
5/29/2020,48,Neutral,9439.124023,32896642044
5/30/2020,48,Neutral,9700.414063,32722975141
5/31/2020,51,Neutral,9461.058594,27773290299
6/1/2020,50,Neutral,10167.26855,35198901068
6/2/2020,56,Greed,9529.803711,39137252109
6/3/2020,48,Neutral,9656.717773,25007459262
6/4/2020,54,Neutral,9800.636719,25921805072
6/5/2020,53,Neutral,9665.533203,23509628646
6/6/2020,54,Neutral,9653.679688,20438419222
6/7/2020,54,Neutral,9758.852539,25015250846
6/8/2020,53,Neutral,9771.489258,21486346312
6/9/2020,52,Neutral,9795.700195,23717842783
6/10/2020,54,Neutral,9870.094727,25706567601
6/11/2020,52,Neutral,9321.78125,30247143440
6/12/2020,38,Fear,9480.84375,22610564515
6/13/2020,38,Fear,9475.277344,17564322315
6/14/2020,40,Fear,9386.788086,18991732746
6/15/2020,37,Fear,9450.702148,26699704768
6/16/2020,39,Fear,9538.024414,21565537209
6/17/2020,38,Fear,9480.254883,20177709879
6/18/2020,40,Fear,9411.84082,17770083003
6/19/2020,39,Fear,9288.018555,19632223107
6/20/2020,38,Fear,9332.34082,17130541557
6/21/2020,37,Fear,9303.629883,15324301169
6/22/2020,38,Fear,9648.717773,21104009514
6/23/2020,41,Fear,9629.658203,17006433272
6/24/2020,50,Neutral,9313.610352,18961716076
6/25/2020,43,Fear,9264.813477,18616048626
6/26/2020,40,Fear,9162.917969,18341465837
6/27/2020,43,Fear,9045.390625,17273093144
6/28/2020,40,Fear,9143.582031,14560870760
6/29/2020,41,Fear,9190.854492,16460547078
6/30/2020,44,Fear,9137.993164,15735797744
7/1/2020,42,Fear,9228.325195,15971550355
7/2/2020,42,Fear,9123.410156,16338916796
7/3/2020,41,Fear,9087.303711,13078970999
7/4/2020,40,Fear,9132.488281,12290528515
7/5/2020,38,Fear,9073.942383,12903406143
7/6/2020,40,Fear,9375.474609,17889263252
7/7/2020,43,Fear,9252.277344,13839652595
7/8/2020,44,Fear,9428.333008,19702359883
7/9/2020,44,Fear,9277.967773,18000702524
7/10/2020,41,Fear,9278.807617,16860035605
